question,answer
콜 1920x1080 해상도에 최적화된 견적을 알려주세요.,"하옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
중옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
상옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
콜 QHD 해상도 추천 견적서는 어떻게 되나요?,"하옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
중옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
콜 QHD 해상도에 적합한 PC 구성을 알고 싶습니다.,"하옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
중옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
콜 2560x1440 해상도용 추천 견적이 무엇인가요?,"하옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
중옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
콜 4K 해상도 추천 견적서는 어떻게 되나요?,"하옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
중옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RX 7900 XTX 조합260만원 후반
AMD : 라이젠7 7800X3D + RX 7900 XTX 조합270만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
콜 4K 해상도를 위한 최적의 컴퓨터 견적을 알려주세요.,"하옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
중옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RX 7900 XTX 조합260만원 후반
AMD : 라이젠7 7800X3D + RX 7900 XTX 조합270만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
콜 3840x2160 해상도에서 사용하기 좋은 견적을 원해요.,"하옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
중옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RX 7900 XTX 조합260만원 후반
AMD : 라이젠7 7800X3D + RX 7900 XTX 조합270만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
콜 이 게임을 플레이하려면 어떤 사양이 필요한가요?,"- OS : Windows® 10 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i3-6100 / Core™ i5-2500K 또는 AMD Ryzen™ 3 1200
- 램 : 8GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 960 또는 AMD Radeon™ RX 470 - DirectX 12.0 호환 시스템
"
콜 컴퓨터가 이 프로그램을 실행할 수 있을지 어떻게 알 수 있나요?,"- OS : Windows® 10 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i3-6100 / Core™ i5-2500K 또는 AMD Ryzen™ 3 1200
- 램 : 8GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 960 또는 AMD Radeon™ RX 470 - DirectX 12.0 호환 시스템
"
콜 게임을 실행하는 데 필요한 기본적인 하드웨어는 무엇인가요?,"- OS : Windows® 10 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i3-6100 / Core™ i5-2500K 또는 AMD Ryzen™ 3 1200
- 램 : 8GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 960 또는 AMD Radeon™ RX 470 - DirectX 12.0 호환 시스템
"
콜 이 프로그램을 가장 낮은 설정에서 실행하기 위해 필요한 것은?,"- OS : Windows® 10 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i3-6100 / Core™ i5-2500K 또는 AMD Ryzen™ 3 1200
- 램 : 8GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 960 또는 AMD Radeon™ RX 470 - DirectX 12.0 호환 시스템
"
콜 이 소프트웨어를 실행시키기 위한 최저 사양은?,"- OS : Windows® 10 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i3-6100 / Core™ i5-2500K 또는 AMD Ryzen™ 3 1200
- 램 : 8GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 960 또는 AMD Radeon™ RX 470 - DirectX 12.0 호환 시스템
"
콜 이 프로그램을 최적으로 사용하기 위한 사양은?,"- OS : Windows® 10 64 Bit (최신 업데이트) 또는 Windows® 11 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i5-6600K / Core™ i7-4770 또는 AMD Ryzen™ 5 1400
- 램 : 12GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 1060 또는 AMD Radeon™ RX 580 - DirectX 12.0 호환 시스템
콜 오브 듀티 : 모던 워페어 II 2022 컴퓨터 견적 추천 (2024년 04월)
"
콜 게임을 즐기기 위해 권장하는 하드웨어는 무엇인가요?,"- OS : Windows® 10 64 Bit (최신 업데이트) 또는 Windows® 11 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i5-6600K / Core™ i7-4770 또는 AMD Ryzen™ 5 1400
- 램 : 12GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 1060 또는 AMD Radeon™ RX 580 - DirectX 12.0 호환 시스템
콜 오브 듀티 : 모던 워페어 II 2022 컴퓨터 견적 추천 (2024년 04월)
"
콜 이 게임을 풀옵션으로 즐기려면 어떤 사양이 필요한가요?,"- OS : Windows® 10 64 Bit (최신 업데이트) 또는 Windows® 11 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i5-6600K / Core™ i7-4770 또는 AMD Ryzen™ 5 1400
- 램 : 12GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 1060 또는 AMD Radeon™ RX 580 - DirectX 12.0 호환 시스템
콜 오브 듀티 : 모던 워페어 II 2022 컴퓨터 견적 추천 (2024년 04월)
"
콜 프로그램 사용에 최적화된 컴퓨터 구성은 무엇인가요?,"- OS : Windows® 10 64 Bit (최신 업데이트) 또는 Windows® 11 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i5-6600K / Core™ i7-4770 또는 AMD Ryzen™ 5 1400
- 램 : 12GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 1060 또는 AMD Radeon™ RX 580 - DirectX 12.0 호환 시스템
콜 오브 듀티 : 모던 워페어 II 2022 컴퓨터 견적 추천 (2024년 04월)
"
콜 이 게임의 권장 하드웨어 구성은 무엇인가요?,"- OS : Windows® 10 64 Bit (최신 업데이트) 또는 Windows® 11 64 Bit (최신 업데이트)
- CPU : Intel® Core™ i5-6600K / Core™ i7-4770 또는 AMD Ryzen™ 5 1400
- 램 : 12GB RAM
- 하드 : 125GB 사용 가능 공간
- 그래픽 : NVIDIA® GeForce® GTX 1060 또는 AMD Radeon™ RX 580 - DirectX 12.0 호환 시스템
콜 오브 듀티 : 모던 워페어 II 2022 컴퓨터 견적 추천 (2024년 04월)
"
콜 게임을 FHD 해상도에서 실행하기 위한 추천 PC는?,"하옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
중옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
상옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
콜 FHD에서 최고의 성능을 내는 PC 구성은 어떻게 되나요?,"하옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
중옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
상옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
콜 QHD 해상도에서 이 게임을 완벽하게 실행하려면?,"하옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
중옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
콜 4K에서 이 프로그램을 부드럽게 실행하기 위해 추천하는 견적은?,"하옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
중옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RX 7900 XTX 조합260만원 후반
AMD : 라이젠7 7800X3D + RX 7900 XTX 조합270만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
콜 최상의 그래픽으로 게임을 즐기기 위한 4K 견적서를 알려주세요.,"하옵 추천견적서	
인텔 : 코어i5-13400F + RTX 4070 SUPER 조합180만원 중반
AMD : 라이젠5 5600 + RTX 4070 조합140만원 초반
중옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RX 7900 XTX 조합260만원 후반
AMD : 라이젠7 7800X3D + RX 7900 XTX 조합270만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
디아블로2 최소사양은 무엇인가요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i3-3250 또는 AMD FX-4350
- 램 : 8 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 660 또는 AMD Radeon HD 7850
"
디아블로2 이 프로그램을 실행하기 위한 최소 요구 사항은?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i3-3250 또는 AMD FX-4350
- 램 : 8 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 660 또는 AMD Radeon HD 7850
"
디아블로2 최소한으로 필요한 사양을 알려주세요.,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i3-3250 또는 AMD FX-4350
- 램 : 8 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 660 또는 AMD Radeon HD 7850
"
디아블로2 권장사양은 무엇인가요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i5-9600k 또는 AMD Ryzen 5 2600
- 램 : 16 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 1060 또는 AMD Radeon RX 5500 XT
디아블로2 레저렉션 컴퓨터 견적 추천 (2024년 04월)
"
디아블로2 이 프로그램의 최적 사양은 무엇인가요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i5-9600k 또는 AMD Ryzen 5 2600
- 램 : 16 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 1060 또는 AMD Radeon RX 5500 XT
디아블로2 레저렉션 컴퓨터 견적 추천 (2024년 04월)
"
디아블로2 권장하는 시스템 사양이 궁금합니다.,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i5-9600k 또는 AMD Ryzen 5 2600
- 램 : 16 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 1060 또는 AMD Radeon RX 5500 XT
디아블로2 레저렉션 컴퓨터 견적 추천 (2024년 04월)
"
디아블로2 FHD 해상도 추천 견적서는 어떻게 되나요?,"중옵 추천견적서	
인텔 : 코어i3-12100F + RX 6500 XT 조합60만원 후반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
디아블로2 FHD 해상도에서 사용할 수 있는 컴퓨터 견적이 궁금해요.,"중옵 추천견적서	
인텔 : 코어i3-12100F + RX 6500 XT 조합60만원 후반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
디아블로2 1920x1080 해상도에 최적화된 견적을 알려주세요.,"중옵 추천견적서	
인텔 : 코어i3-12100F + RX 6500 XT 조합60만원 후반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
디아블로2 QHD 해상도 추천 견적서는 어떻게 되나요?,"중옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
디아블로2 QHD 해상도에 적합한 PC 구성을 알고 싶습니다.,"중옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
디아블로2 2560x1440 해상도용 추천 견적이 무엇인가요?,"중옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
디아블로2 4K 해상도 추천 견적서는 어떻게 되나요?,"중옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
디아블로2 4K 해상도를 위한 최적의 컴퓨터 견적을 알려주세요.,"중옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
디아블로2 3840x2160 해상도에서 사용하기 좋은 견적을 원해요.,"중옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
디아블로2 이 게임을 플레이하려면 어떤 사양이 필요한가요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i3-3250 또는 AMD FX-4350
- 램 : 8 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 660 또는 AMD Radeon HD 7850
"
디아블로2 컴퓨터가 이 프로그램을 실행할 수 있을지 어떻게 알 수 있나요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i3-3250 또는 AMD FX-4350
- 램 : 8 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 660 또는 AMD Radeon HD 7850
"
디아블로2 게임을 실행하는 데 필요한 기본적인 하드웨어는 무엇인가요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i3-3250 또는 AMD FX-4350
- 램 : 8 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 660 또는 AMD Radeon HD 7850
"
디아블로2 이 프로그램을 가장 낮은 설정에서 실행하기 위해 필요한 것은?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i3-3250 또는 AMD FX-4350
- 램 : 8 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 660 또는 AMD Radeon HD 7850
"
디아블로2 이 소프트웨어를 실행시키기 위한 최저 사양은?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i3-3250 또는 AMD FX-4350
- 램 : 8 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 660 또는 AMD Radeon HD 7850
"
디아블로2 이 프로그램을 최적으로 사용하기 위한 사양은?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i5-9600k 또는 AMD Ryzen 5 2600
- 램 : 16 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 1060 또는 AMD Radeon RX 5500 XT
디아블로2 레저렉션 컴퓨터 견적 추천 (2024년 04월)
"
디아블로2 게임을 즐기기 위해 권장하는 하드웨어는 무엇인가요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i5-9600k 또는 AMD Ryzen 5 2600
- 램 : 16 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 1060 또는 AMD Radeon RX 5500 XT
디아블로2 레저렉션 컴퓨터 견적 추천 (2024년 04월)
"
디아블로2 이 게임을 풀옵션으로 즐기려면 어떤 사양이 필요한가요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i5-9600k 또는 AMD Ryzen 5 2600
- 램 : 16 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 1060 또는 AMD Radeon RX 5500 XT
디아블로2 레저렉션 컴퓨터 견적 추천 (2024년 04월)
"
디아블로2 프로그램 사용에 최적화된 컴퓨터 구성은 무엇인가요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i5-9600k 또는 AMD Ryzen 5 2600
- 램 : 16 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 1060 또는 AMD Radeon RX 5500 XT
디아블로2 레저렉션 컴퓨터 견적 추천 (2024년 04월)
"
디아블로2 이 게임의 권장 하드웨어 구성은 무엇인가요?,"- OS : 윈도우® 10
- CPU : 인텔® 코어 i5-9600k 또는 AMD Ryzen 5 2600
- 램 : 16 GB RAM
- 하드 : 30 GB
- 그래픽 : Nvidia GTX 1060 또는 AMD Radeon RX 5500 XT
디아블로2 레저렉션 컴퓨터 견적 추천 (2024년 04월)
"
디아블로2 게임을 FHD 해상도에서 실행하기 위한 추천 PC는?,"중옵 추천견적서	
인텔 : 코어i3-12100F + RX 6500 XT 조합60만원 후반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
디아블로2 FHD에서 최고의 성능을 내는 PC 구성은 어떻게 되나요?,"중옵 추천견적서	
인텔 : 코어i3-12100F + RX 6500 XT 조합60만원 후반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
디아블로2 QHD 해상도에서 이 게임을 완벽하게 실행하려면?,"중옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
상옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
디아블로2 4K에서 이 프로그램을 부드럽게 실행하기 위해 추천하는 견적은?,"중옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
디아블로2 최상의 그래픽으로 게임을 즐기기 위한 4K 견적서를 알려주세요.,"중옵 추천견적서	
인텔 : 코어i5-12400F + RTX 4060 Ti 조합120만원 초반
AMD : 라이젠5 5600 + RX 6800 조합90만원 후반
상옵 추천견적서	
인텔 : 코어i5-14600KF + RTX 4070 Ti SUPER 조합240만원 초반
AMD : 라이젠5 7500F + RTX 4070 Ti SUPER 조합210만원 중반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)
"
엘든링 최소사양은 무엇인가요?,"- OS : Windows 10
- CPU : INTEL CORE I5-8400 or AMD RYZEN 3 3300X
- 램 : 12GB RAM
- 하드 : 60GB 사용 가능 공간
- 그래픽 : NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB
"
엘든링 이 프로그램을 실행하기 위한 최소 요구 사항은?,"- OS : Windows 10
- CPU : INTEL CORE I5-8400 or AMD RYZEN 3 3300X
- 램 : 12GB RAM
- 하드 : 60GB 사용 가능 공간
- 그래픽 : NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB
"
엘든링 최소한으로 필요한 사양을 알려주세요.,"- OS : Windows 10
- CPU : INTEL CORE I5-8400 or AMD RYZEN 3 3300X
- 램 : 12GB RAM
- 하드 : 60GB 사용 가능 공간
- 그래픽 : NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB
"
엘든링 권장사양은 무엇인가요?,"- OS : Windows 10/11
- CPU : INTEL CORE I7-8700K or AMD RYZEN 5 3600X
- 램 : 16GB RAM
- 하드 : 60GB 사용 가능 공간
- 그래픽 : NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GB
엘든링 컴퓨터 견적 추천 (2024년 04월)
"
엘든링 이 프로그램의 최적 사양은 무엇인가요?,"- OS : Windows 10/11
- CPU : INTEL CORE I7-8700K or AMD RYZEN 5 3600X
- 램 : 16GB RAM
- 하드 : 60GB 사용 가능 공간
- 그래픽 : NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GB
엘든링 컴퓨터 견적 추천 (2024년 04월)
"
엘든링 권장하는 시스템 사양이 궁금합니다.,"- OS : Windows 10/11
- CPU : INTEL CORE I7-8700K or AMD RYZEN 5 3600X
- 램 : 16GB RAM
- 하드 : 60GB 사용 가능 공간
- 그래픽 : NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GB
엘든링 컴퓨터 견적 추천 (2024년 04월)
"
엘든링 FHD 해상도 추천 견적서는 어떻게 되나요?,"하옵 추천견적서	
인텔 : 코어i3-12100F + GTX 1650 조합60만원 중반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
중옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + RX 6600 조합70만원 중반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
엘든링 FHD 해상도에서 사용할 수 있는 컴퓨터 견적이 궁금해요.,"하옵 추천견적서	
인텔 : 코어i3-12100F + GTX 1650 조합60만원 중반
AMD : 라이젠5 5600 + RX 580 조합60만원 초반
중옵 추천견적서	
인텔 : 코어i5-12400F + GTX 1660 SUPER 조합80만원 후반
AMD : 라이젠5 5600 + RX 6600 조합70만원 중반
상옵 추천견적서	
인텔 : 코어i5-12400F + RX 7600 조합90만원 후반
AMD : 라이젠5 5600 + RX 7600 조합80만원 초반
2024년 4월 5일 기준 가격입니다. (실제 가격비교 시 변동될 수 있습니다.)

"
